"fighter_id","fighter_name","field_name","fight_years","raw_value","raw_unit","normalized_value_cm","source_provider","source_url_or_id","source_observed_at","retrieved_at","source_tier","identity_evidence","review_status","resolution_status","additional_sources_checked","notes"
"27681455-a2ab-552a-ab4c-ab41effcd047","Abdul Hussein","reach_cm","2026","67","in","170.18","mma_index","https://mma-index.com/fighters/abdul-hussein","2026-09-15","2026-09-15","2","canonical fighter ID + trusted UFC athlete UUID dc1a0186-c9fc-459f-89b1-d5b958a07783 + UFC roster identity cross-check","accepted","RESOLVED_TRUSTED_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/dc1a0186-c9fc-459f-89b1-d5b958a07783 | UFC current athlete profile | MartialBot fighter profile","MMA Index and MartialBot independently publish 67 in / 170 cm; pinned/current UFC evidence remains null for reach."
"92144750-ac6d-5e18-bd44-4e839332e7e8","Abubakar Vagaev","reach_cm","2026","","","","","","","2026-09-15","","canonical fighter ID + trusted UFC athlete UUID 823cee51-2785-4cae-bcfa-09f02633d6d8","exhausted","EXHAUSTED_TRUSTED_SOURCES_NO_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/823cee51-2785-4cae-bcfa-09f02633d6d8 | UFC current athlete profile | Tapology fighter profile | Minted MMA fighter profile","UFC and Tapology do not publish reach. Minted MMA alone lists 73 in; single uncorroborated non-primary value was not accepted."
"345b0807-0422-5231-9b78-9871d4b33c1c","Artur Minev","reach_cm","2026","","","","","","","2026-09-15","","canonical fighter ID + trusted UFC athlete UUID a1cdeb06-26bb-446d-9f1f-e635073fe7e5","exhausted","EXHAUSTED_TRUSTED_SOURCES_NO_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/a1cdeb06-26bb-446d-9f1f-e635073fe7e5 | UFC current athlete profile | Tapology fighter profile | MMA Index fighter profile","UFC and Tapology do not publish reach. MMA Index alone lists 69 in; single uncorroborated non-primary value was not accepted."
"70f3356d-984f-568c-8472-000f38f5b02d","Ben Johnston","reach_cm","2026","75","in","190.50","espn_mma","https://www.espn.com/mma/fighter/_/name/ben-johnston","2026-09-15","2026-09-15","2","canonical fighter ID + trusted UFC athlete UUID 867faf5b-c85c-4bea-ae48-3df3282d41be + heavyweight roster/opponent history","accepted","RESOLVED_TRUSTED_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/867faf5b-c85c-4bea-ae48-3df3282d41be | UFC current athlete profile | ESPN MMA | Tapology fighter profile","ESPN publishes 75 in; Tapology publishes 75.6 in. Difference is 0.6 in, so deterministic source priority selects ESPN; no averaging."
"3a2b6c18-5073-591a-b0e6-028e568fa36a","Borislav Nikolic","reach_cm","2026","","","","","","","2026-09-15","","canonical fighter ID + trusted UFC athlete UUID c22ff047-7cc1-43b8-8832-7b69e1b30078","exhausted","EXHAUSTED_TRUSTED_SOURCES_NO_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/c22ff047-7cc1-43b8-8832-7b69e1b30078 | UFC current athlete profile | Tapology fighter profile","Current/pinned UFC and Tapology expose no arm-reach measurement."
"77a56c1d-4722-5f4c-a70c-64de0752e1b7","Christian Edwards","reach_cm","2026","78.5","in","199.39","espn_mma","https://www.espn.com/mma/fighter/_/name/christian-edwards","2026-09-15","2026-09-15","2","canonical fighter ID + trusted UFC athlete UUID db8b0417-8117-43fd-ad74-049c9db41662 + light-heavyweight record cross-check","accepted","RESOLVED_TRUSTED_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/db8b0417-8117-43fd-ad74-049c9db41662 | UFC current athlete profile | ESPN MMA | Tapology fighter profile | Minted MMA fighter profile","ESPN and Tapology independently publish 78.5 in; Minted MMA lists 78 in. Stronger exact agreement selected."
"fe16f228-4c4a-50c0-8d42-53919ce83b8f","Dakota Hope","reach_cm","2026","68","in","172.72","tapology","https://www.tapology.com/fightcenter/fighters/dakota-hope","2026-09-15","2026-09-15","2","canonical fighter ID + trusted UFC athlete UUID 5e95ecc3-a643-48ff-bd05-70d74f2f6696 + division/record identity cross-check","accepted","RESOLVED_TRUSTED_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/5e95ecc3-a643-48ff-bd05-70d74f2f6696 | UFC current athlete profile | Tapology fighter profile | MMA Index fighter profile","Tapology and MMA Index independently publish 68 in."
"1288319a-e165-5306-8ca1-4f6c1ce6b88e","Damian Rzepecki","reach_cm","2026","","","","","","","2026-09-15","","canonical fighter ID + trusted UFC athlete UUID a421e97e-2944-4964-9a15-a29e86759e85 + Polish lightweight identity/event history","quarantined","RESOLVED_CONFLICT_QUARANTINED","ufc_com_snapshot:20260820T194553Z/a421e97e-2944-4964-9a15-a29e86759e85 | Tapology fighter profile | Wikipedia fighter biography | MMA Index fighter profile | Minted MMA fighter profile","Material conflict: Tapology/Wikipedia publish 73.6 in while MMA Index/Minted MMA publish 71 in. No averaging or forced selection."
"de97d91c-4372-5a81-8244-9dd4f3ec87df","Farman Hasanov","reach_cm","2026","74.5","in","189.23","tapology","https://www.tapology.com/fightcenter/fighters/farman-hasanov","2026-09-15","2026-09-15","2","canonical fighter ID + trusted UFC athlete UUID e9300e79-2ac7-44d6-acfa-81a19009fdff + roster/record identity cross-check","accepted","RESOLVED_TRUSTED_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/e9300e79-2ac7-44d6-acfa-81a19009fdff | UFC current athlete profile | Tapology fighter profile | MMA Index fighter profile","Tapology publishes 74.5 in and MMA Index 74 in; 0.5-in discrepancy resolved by source priority with no averaging."
"51b21443-0dcd-5c24-955b-188e60784139","Magomed Tuchalov","reach_cm","2026","","","","","","","2026-09-15","","canonical fighter ID + trusted UFC athlete UUID e3a8e8ae-acf2-4df5-ad32-1b0d1a123a40 + UAE Warriors/UFC identity cross-check","exhausted","EXHAUSTED_TRUSTED_SOURCES_NO_MEASUREMENT","ufc_com_snapshot:20260820T194553Z/e3a8e8ae-acf2-4df5-ad32-1b0d1a123a40 | UFC current athlete profile | UAE Warriors official profile | Tapology fighter profile | MMA Index fighter profile","UFC, UAE Warriors and Tapology publish no reach. MMA Index alone lists 78 in; single uncorroborated non-primary value was not accepted."
