archive_key,fight_id,event_date,horizontal_line_count,round,judge_block,source_side,x0,x1,y0,y1,variant_values,accepted_points,agreement_count,cell_status,pair_status,orientation_status
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,1,left,0.04353,0.10261,0.39349,0.43574,"[10,0,null,null]",,1,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,1,right,0.26368,0.32525,0.39349,0.43574,"[null,9,null,9]",9,2,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,2,left,0.36007,0.41915,0.39349,0.43574,"[10,1,10,null]",10,2,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,2,right,0.5796,0.64117,0.39349,0.43574,"[null,9,null,3]",,1,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,3,left,0.676,0.73507,0.39349,0.43574,"[10,10,10,null]",10,3,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,1,3,right,0.89552,0.95709,0.39349,0.43574,"[null,null,null,null]",,0,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,1,left,0.04353,0.10261,0.43574,0.47975,"[null,10,null,null]",,1,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,1,right,0.26368,0.32525,0.43574,0.47975,"[null,3,null,null]",,0,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,2,left,0.36007,0.41915,0.43574,0.47975,"[10,10,10,1]",10,3,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,2,right,0.5796,0.64117,0.43574,0.47975,"[null,9,null,null]",,1,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,3,left,0.676,0.73507,0.43574,0.47975,"[10,10,null,null]",10,2,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,2,3,right,0.89552,0.95709,0.43574,0.47975,"[null,9,null,3]",,1,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,3,1,left,0.04353,0.10261,0.47975,0.52377,"[null,3,null,3]",,0,unresolved,pair_unresolved_or_atypical,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,9,3,1,right,0.26368,0.32525,0.47975,0.52377,"[10,10,10,10]",10,4,accepted_7_10_consensus,pair_unresolved_or_atypical,supports_left_even_right_odd
