archive_key,fight_id,event_date,round,judge_block,source_side,x0,x1,y0,y1,round_label_votes,score_variant_values,accepted_points,score_agreement_count,cell_status,pair_status,orientation_status
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,left,0.01679,0.0796,0.45747,0.51141,"{""1"":3}","[10,0,null,2,10,0]",10,2,accepted_7_10_consensus,strict_pair,mixed_or_conflicting_anchor_orientation
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,right,0.25062,0.31654,0.45747,0.51141,"{""1"":3}","[9,3,4,3,9,3]",9,2,accepted_7_10_consensus,strict_pair,mixed_or_conflicting_anchor_orientation
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,2,left,0.35261,0.41542,0.45747,0.51141,"{""1"":3}","[4,null,null,null,4,null]",,0,unresolved,pair_unresolved_or_atypical,mixed_or_conflicting_anchor_orientation
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,2,right,0.58582,0.65112,0.45747,0.51141,"{""1"":3}","[10,1,10,1,10,10]",10,4,accepted_7_10_consensus,pair_unresolved_or_atypical,mixed_or_conflicting_anchor_orientation
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,3,left,0.68843,0.75124,0.45747,0.51141,"{""1"":3}","[null,null,null,null,null,null]",,0,unresolved,pair_unresolved_or_atypical,mixed_or_conflicting_anchor_orientation
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,3,right,0.92164,0.98694,0.45747,0.51141,"{""1"":3}","[10,0,null,null,10,0]",10,2,accepted_7_10_consensus,pair_unresolved_or_atypical,mixed_or_conflicting_anchor_orientation
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,1,1,left,0.04353,0.10261,0.39349,0.43574,"{""1"":3}","[10,0,null,null,10,0]",10,2,accepted_7_10_consensus,strict_pair,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,1,1,right,0.26368,0.32525,0.39349,0.43574,"{""1"":3}","[null,9,null,9,null,9]",9,3,accepted_7_10_consensus,strict_pair,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,1,2,left,0.36007,0.41915,0.39349,0.43574,"{""1"":3}","[10,1,10,null,10,1]",10,3,accepted_7_10_consensus,strict_pair,supports_left_even_right_odd
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,1,2,right,0.5796,0.64117,0.39349,0.43574,"{""1"":3}","[null,9,null,9,null,9]",9,3,accepted_7_10_consensus,strict_pair,supports_left_even_right_odd
